473-emeric-brehier;32229;1596519;1087442845;1808972;Monsieur BREHIER Emeric;2019-10-30T00:00:00;NotifOK ;473
231-marine-brenier;32349;1597283;1087442889;1808975;Madame BRENIER Marine;2019-10-30T00:00:00;NotifOK ;231
335-xavier-breton;32350;1597289;1087442895;1808976;Monsieur BRETON Xavier;2019-10-30T00:00:00;NotifOK ;335
158-philippe-briand;32351;1597295;1087442787;1808977;Monsieur BRIAND Philippe;2019-10-30T00:00:00;NotifOK ;158
518-jean-louis-bricout;32352;1597300;1087451888;1808984;Monsieur BRICOUT Jean-Louis;2019-10-30T00:00:00;NotifOK ;518
537-jean-jacques-bridey;32353;1597305;1087452431;1808985;Monsieur BRIDEY Jean-Jacques;2019-10-30T00:00:00;NotifOK ;537
341-bernard-brochand;32354;1597310;1087452786;1808987;Monsieur BROCHAND Bernard;2019-10-30T00:00:00;NotifOK ;341
432-isabelle-bruneau;32659;745993;1087452981;1808988;Madame BRUNEAU Isabelle;2019-10-30T00:00:00;NotifOK ;432
146-marie-george-buffet;32355;1597315;1087452907;1808990;Madame BUFFET Marie-Georges;2019-10-30T00:00:00;NotifOK ;146
442-sabine-buis;32356;1597320;1087453083;1808991;Madame BUIS Sabine;2019-10-30T00:00:00;NotifOK ;442
419-jean-claude-buisine;32357;1597325;1087453170;1809000;Monsieur BUISINE Jean-Claude;2019-10-30T00:00:00;NotifOK ;419
558-sylviane-bulteau;32170;1596012;1087453243;1809003;Madame BULTEAU Sylviane;2019-10-30T00:00:00;NotifOK ;558
583-vincent-burroni;32171;1596017;1087453273;1809005;Monsieur BURRONI Vincent;2019-10-30T00:00:00;NotifOK ;583
272-dominique-bussereau;32172;1596022;1087454084;1809006;Monsieur BUSSEREAU Dominique;2019-10-30T00:00:00;NotifOK ;272
515-alain-calmette;32641;1599111;1087463084;1809009;Monsieur CALMETTE Alain;2019-10-31T00:00:00;NotifOK ;515
102-jean-christophe-cambadelis;32173;1596027;1087463116;1809021;Monsieur CAMBADELIS Jean-Christophe;2019-10-31T00:00:00;NotifOK ;102
161-jean-jacques-candelier;32174;1596032;1087463150;1809031;Monsieur CANDELIER Jean-Jacques;2019-10-31T00:00:00;NotifOK ;161
408-colette-capdevielle;32175;1596037;1087463175;1809035;Madame CAPDEVIELLE Colette;2019-10-31T00:00:00;NotifOK ;408
531-yann-capet;32176;1596042;1087463209;1809038;Monsieur CAPET Yann;2019-10-31T00:00:00;NotifOK ;531
305-christophe-caresche;32177;1596047;1087463217;1809039;Monsieur CARESCHE Christophe;2019-10-31T00:00:00;NotifOK ;305
503-marie-arlette-carlotti;32221;1596469;1087463235;1809043;Madame CARLOTTI Marie-Arlette;2019-10-31T00:00:00;NotifOK ;503
566-jean-noel-carpentier;32222;1596474;1087463242;1809046;Monsieur CARPENTIER Jean-Noel;2019-10-31T00:00:00;NotifOK ;566
233-olivier-carre;32223;1596479;1087463276;1809047;Monsieur CARRE Olivier;2019-10-31T00:00:00;NotifOK ;233
155-gilles-carrez;32224;1596484;1087463281;1809048;Monsieur CARREZ Gilles;2019-10-31T00:00:00;NotifOK ;155
42-martine-carrillon-couvreur;32225;1596489;1087463293;1809058;Madame CARRILLON-COUVREUR Martine;2019-10-31T00:00:00;NotifOK ;42
541-patrice-carvalho;32226;1596502;1087463298;1809059;Monsieur CARVALHO Patrice;2019-10-31T00:00:00;NotifOK ;541
484-christophe-castaner;32178;1596052;1087463319;1809060;Monsieur CASTANER Christophe;2019-10-31T00:00:00;NotifOK ;484
201-laurent-cathala;32683;1599362;1087463329;1809063;Monsieur CATHALA Laurent;2019-10-31T00:00:00;NotifOK ;201
449-jean-yves-caullet;32160;1595934;1087463336;1809064;Monsieur CAULLET Jean-Yves;2019-10-31T00:00:00;NotifOK ;449
466-christophe-cavard;32161;1595958;1087463340;1809066;Monsieur CAVARD Christophe;2019-10-31T00:00:00;NotifOK ;466
291-yves-censi;32162;1595963;1087463354;1809072;Monsieur CENSI Yves;2019-10-31T00:00:00;NotifOK ;291
412-nathalie-chabanne;32638;1599094;1087463365;1809074;Madame CHABANNE Nathalie;2019-10-31T00:00:00;NotifOK ;412
